symbol,listDate,fullname,listed Price,Rate,List Price MNT
MDT,2021-12-13 20:02:22,Measurable Data Token,0.02031859,2849.36,57.89
ANTOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
PHBV1,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
ASTR,2022-01-20 20:02:22,Aster,0.18,2849.36,512.88
SUNOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
IOTA,2021-12-13 20:02:22,miotac,1.15508,2849.36,3291.24
ARN,2021-12-13 20:02:22,aeron,0.00012458,2849.36,0.35
SPARTAOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
AXSOLD,2021-12-13 20:02:22,Axie Infinity,104.27,2849.36,297102.77
ATM,2022-10-10 20:02:22,Automatic Teller Machine,0.14,2849.36,398.91
APPC,2021-12-13 20:02:22,AppCoins,0.06777,2849.36,193.10
JEX,2021-12-13 20:02:22,JEXchange,N/A,2849.36,#VALUE!
ICX,2021-12-13 20:02:22,icon,1.239,2849.36,3530.36
LOOM,2021-12-13 20:02:22,Loom Token,0.0853,2849.36,243.05
ZEN,2021-12-13 20:02:22,Horizen,67.3,2849.36,191761.93
KP3R,2021-12-13 20:02:22,Keep3rV1,733.32,2849.36,2089492.68
DOGE,2021-12-13 20:02:22,Dogecoin,0.1911,2849.36,544.51
DUSK,2021-12-13 20:02:22,Dusk Network,0.4286,2849.36,1221.24
ALPHA,2021-12-13 20:02:22,Alpha Venture DAO,0.7433,2849.36,2117.93
BOLT,2021-12-13 20:02:22,Bolt,0.005407,2849.36,15.41
SXP,2021-12-13 20:02:22,sxp,1.5698,2849.36,4472.93
HBAR,2021-12-13 20:02:22,Hedera,0.2258,2849.36,643.39
RVN,2021-12-13 20:02:22,Ravencoin,0.08901,2849.36,253.62
MLN,2021-12-13 20:02:22,Enzyme,86.78,2849.36,247267.46
LTOOLD,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
CTSI,2021-12-13 20:02:22,Cartesi,0.7179,2849.36,2045.56
KAVA,2021-12-13 20:02:22,Kava,3.6101,2849.36,10286.47
C98,2021-12-13 20:02:22,Coin98,2.1745,2849.36,6195.93
PSG,2021-12-13 20:02:22,Paris Saint-Germain Fan Token,14.61,2849.36,41629.15
HCC,2022-04-11,Hunter Crypto Coin,0.007525,2849.36,21.44
VIDT,2022-02-11,VIDT DAO,0.01922,2849.36,54.76
AVA,2021-12-13 20:02:22,Travala,1.7493,2849.36,4984.39
SYS,2021-12-13 20:02:22,Syscoin,0.7404,2849.36,2109.67
COCOS,2021-12-13 20:02:22,Cocos-BCX,1.976,2849.36,5630.34
STRAX,2021-12-13 20:02:22,Stratis,1.3248,2849.36,3774.83
MAPS,2021-12-13 20:02:22,MAPS,0.4024,2849.36,1146.58
GAS,2021-12-13 20:02:22,Gas,6.5066,2849.36,18539.65
COVEROLD,2021-12-13 20:02:22,N/A,N/A,2849.36,#VALUE!
THETA,2021-12-13 20:02:22,Theta Network,4.4237,2849.36,12604.71
WAN,2021-12-13 20:02:22,Wanchain,0.6467,2849.36,1842.68
ORN,2021-12-13 20:02:22,Orion Protocol,5.6919,2849.36,16218.27
PERL,2021-12-13 20:02:22,PERL.eco,0.07822,2849.36,222.88
MASK,2021-12-13 20:02:22,Mask Network,11.75,2849.36,33479.98
AAVE,2021-12-13 20:02:22,Aave,180.11,2849.36,513198.23
LLT,2021-12-13 20:02:22,LifeLine,N/A,2849.36,#VALUE!
PERP,2021-12-13 20:02:22,Perpetual Protocol,9.3712,2849.36,26701.92
BOND,2021-12-13 20:02:22,BarnBridge,17.52,2849.36,49920.79
YFI,2021-12-13 20:02:22,yearn.finance,21753.59,2849.36,61983809.20
MOD,2021-12-13 20:02:22,Modefi,1.0623,2849.36,3026.88
BICO,2021-12-13 20:02:22,Biconomy,5.2784,2849.36,15040.06
OST,2021-12-13 20:02:22,OST,0.003293,2849.36,9.38
VAB,2021-12-13 20:02:22,Vabble,0.01085,2849.36,30.92
XEC,2021-12-13 20:02:22,ecash,0.000491,2849.36,1.40
YGG,2021-12-13 20:02:22,Yield Guild Games Token,4.8131,2849.36,13714.25
AXS,2021-12-13 20:02:22,Axie Infinity,90.86,2849.36,258892.85
ZIL,2021-12-13 20:02:22,Zilliqa,0.0578,2849.36,164.69
VAI,2021-12-13 20:02:22,Vai,0.91832,2849.36,2616.62
XEM,2021-12-13 20:02:22,NEM,0.133,2849.36,378.96
CTXC,2021-12-13 20:02:22,Cortex,0.3465,2849.36,987.30
KEYFI,2021-12-13 20:02:22,KeyFi,1.0306,2849.36,2936.55
BIDR,2021-12-13 20:02:22,BIDR,14486,2849.36,41275828.96
BCHSV,2021-12-13 20:02:22,bchsv,n/a,2849.36,0.00
COMP,2021-12-13 20:02:22,Compound,189.1,2849.36,538813.98
ETHBNT,2021-12-13 20:02:22,Bancor,0.000831,2849.36,2.37
OMOLD,2021-12-13 20:02:22,,,2849.36,0.00
RUNE,2021-12-13 20:02:22,THORChain,13.126,2849.36,37400.70
FORTH,2021-12-13 20:02:22,Ampleforth Governance token,10.66,2849.36,30374.18
KMD,2021-12-13 20:02:22,Komodo,0.7623,2849.36,2172.07
GHST,2021-12-13 20:02:22,Aavegotchi,2.476,2849.36,7055.02
IDEX,2021-12-13 20:02:22,IDEX,0.31213,2849.36,889.37
DEXE,2021-12-13 20:02:22,DeXe,14.015,2849.36,39933.78
AVAX,2021-12-13 20:02:22,Avalanche,86.49,2849.36,246441.15
KNC,2021-12-13 20:02:22,Kyber Network Crystal v2,1.367,2849.36,3895.08
PROS,2021-12-13 20:02:22,Prosper,0.0003149,2849.36,0.90
PROM,2021-12-13 20:02:22,Prom,12.65,2849.36,36044.40
CHAT,2021-12-13 20:02:22,ChatCoin,,2849.36,0.00
BGBP,2021-12-13 20:02:22,Binance GBP Stable Coin,,2849.36,0.00
LPT,2021-12-13 20:02:22,Livepeer,32.62,2849.36,92946.12
HIVE,2021-12-13 20:02:22,Hive,1.628,2849.36,4638.76
BIFI,2021-12-13 20:02:22,Beefy Finance,1546.28,2849.36,4405908.38
PORTO,2021-12-13 20:02:22,FC Porto Fan Token,3.9236,2849.36,11179.75
SNGLS,2021-12-13 20:02:22,SingularDTV,N/A,2849.36,N/A
PYR,2021-12-13 20:02:22,Vulcan Forged PYR,29.49,2849.36,84027.63
TBCC,2021-12-13 20:02:22,TBCC,0.2676,2849.36,762.49
WAXP,2021-12-13 20:02:22,WAX,0.5248,2849.36,1495.34
DAI,2021-12-13 20:02:22,Dai,1.0025,2849.36,2856.48
DAR,2021-12-13 20:02:22,Mines of Dalarnia,2.251,2849.36,6413.91
FET,2021-12-13 20:02:22,Fetch.ai,0.5526,2849.36,1574.56
LRC,2021-12-13 20:02:22,Loopring,2.42,2849.36,6895.45
ADXOLD,2021-12-13 20:02:22,Ambire AdEx,0.537,2849.36,1530.11
MTH,2021-12-13 20:02:22,Monetha,0.03371,2849.36,96.05
MTL,2021-12-13 20:02:22,Metal DAO,2.239,2849.36,6379.72
VET,2021-12-13 20:02:22,VeChain,0.077,2849.36,219.40
ALPACA,2021-12-13 20:02:22,Alpaca Finance,0.5603,2849.36,1596.50
USDT,2021-12-13 20:02:22,Tether,1.0002,2849.36,2849.93
USDS,2021-12-13 20:02:22,Stably USD,1.0368,2849.36,2954.22
OXT,2021-12-13 20:02:22,Orchid,0.43,2849.36,1225.22
USDP,2021-12-13 20:02:22,Pax Dollar,0.9998,2849.36,2848.79
DASH,2021-12-13 20:02:22,Dash,138.7,2849.36,395206.23
NVT,2021-12-13 20:02:22,NerveNetwork,0.07063,2849.36,201.25
SWRV,2021-12-13 20:02:22,Swerve,0.3026,2849.36,862.22
EDO,2021-12-13 20:02:22,Eidoo {Old},N/A,2849.36,N/A
ILV,2021-12-13 20:02:22,Illuvium,1279.35,2849.36,3645328.72
BTCST,2021-12-13 20:02:22,BTC Standard Hashrate,36.54,2849.36,104115.61
LSK,2021-12-13 20:02:22,Lisk,1.2553,2849.36,3576.80
KEEP,2021-12-13 20:02:22,Keep Network,0.6701,2849.36,1909.36
BEAM,2021-12-13 20:02:22,BEAM,0.6673,2849.36,1901.38
CAN,2021-12-13 20:02:22,Channels,0.0014,2849.36,3.99
DCR,2021-12-13 20:02:22,Decred,77.64,2849.36,221224.31
VRAB,2021-12-13 20:02:22,VRABET,N/A,2849.36,N/A
